Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),75/234,5.089190625193169e-51,1.546096111933685e-47,0,0,14.280809648913303,1653.7851761541046,RPL4;RPL5;RPL30;RPLP1;MRPS12;MRPL38;MRPS10;MRPL37;RPL8;RPL10A;YARS2;RPL7;EEF1B2;MRPL4;MRPL42;MRPL3;RPS17;MRPL2;MRPL40;QARS1;RPL36AL;RACK1;RPL35;RPS10;EIF5A;TSFM;RPS9;MRPS27;MRPS25;MRPS22;MARS2;RPS6;MARS1;MRPL49;MRPS2;MRPS21;RPS3A;MRPL48;MRPL45;MRPS5;MRPL44;LARS2;MRPL53;MRPS9;EEF1D;RPL24;RPS4Y2;RPL10;EIF5A2;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL10;MRPL54;MRPL20;RPL14;RPL13;RPL15;RPL19;ABCF1;NDUFA7;GATB;MRPL23;EEF2;MRPL24;MRPL21;MRPL22;MRPL30;RPS28;RPS27;EPRS1;RPL27A;RPS20
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),39/98,4.080142888431857e-31,6.197737047527991e-28,0,0,19.03293413173653,1331.810644720989,GFM1;MRPS12;MRPS34;MRPL16;MRPL38;MRPS31;MRPL17;MRPS10;MRPL14;MRPL37;MRPL10;MRPL54;MRPL4;MRPL20;MRPL3;MRPL42;MRPL2;MRPL40;TSFM;NDUFA7;MRPS27;MRPS25;MRPS22;MRPL49;MRPS2;MRPS21;GATB;MRPL48;MRPL23;MRPL45;MRPL24;MRPL21;MRPS5;MRPL22;MRPL44;MRPL30;LARS2;MRPL53;MRPS9
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),39/103,3.9681471618080145e-30,4.018410359190915e-27,0,0,17.54142496257485,1187.5413755370623,MRPS12;MRPS34;MRPL16;MRPL38;MRPS31;MRPL17;MRPS10;MRPL14;MRPL37;FOXO3;MRPL10;MRPL54;MRPL4;MRPL20;MRPL3;MRPL42;MRPL2;MRPL40;NDUFA7;MRPS27;MRPS25;MRPS22;MRPL49;MRPS2;MRPS21;GATB;MRPL48;TFB2M;MRPL23;MRPL45;MRPL24;MRPL21;MRPS5;MRPL22;MRPL44;MRPL30;LARS2;MRPL53;MRPS9
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),89/705,4.679047369958655e-26,3.5537364774835984e-23,0,0,4.366444437439583,254.6690200947048,HRK;GSK3B;MRE11;ARL6IP1;PDCD5;HSPB1;YEATS4;FASLG;HMGB1;CLU;MPO;IGF1R;CASP8;KAT5;AKT2;MYC;RUVBL2;CASP3;RACK1;TNFSF10;AKT1;CCNL2;SKP2;MAP3K5;CTSB;IL10;DFFA;ANXA5;RPS6;NME2;TRAF2;RPS3A;MMP9;YWHAZ;MORF4L1;CAT;PPIF;BIRC7;RAF1;ATF6;TP53;PPIA;CD44;ATF4;MCM2;HDAC3;MEAF6;RPL10;HDAC1;GSTP1;HTRA2;PSEN1;FOXO3;EGFR;RELA;HSPD1;PRDX2;BAG4;BCL2L11;BAG3;BAG1;E2F1;EP400;PMAIP1;FYN;BRD8;FADD;BID;ATG7;SNCA;NPM1;HSPA5;BAD;BNIP3;BRAF;CFLAR;AGT;MTOR;GCLC;HNRNPK;MRGBP;APEX1;DNAJA3;ALB;ANP32E;FAS;TARDBP;BCL2L2;MAD2L1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),44/183,1.7112491215501544e-24,1.0397549662538738e-21,0,0,9.1450025499962,500.4586060801514,RPL4;RPL5;RPL30;RPS4Y2;ALAS1;RPL10;RPLP1;EIF5A2;MRPS12;MRPL14;MRPL37;RPL10A;RPL8;YARS2;MRPL10;RPL7;EEF1B2;MRPL3;MRPL42;RPS17;RPL36AL;RPL14;RPL35;RPL13;RPL15;RPS10;ABCF1;RPL19;EIF5A;TSFM;RPS9;RPS6;MRPS21;RPS3A;EEF2;MRPL23;MRPL24;MRPS5;RPS28;RPS27;EEF1D;RPL27A;RPL24;RPS20
GO_Biological_Process_2023,Gene Expression (GO:0010467),54/296,1.3791963094104053e-23,6.983330646648018e-21,0,0,6.510029995064103,342.67467370070926,RPL4;RPL5;RPL30;RPLP1;MRPS12;HNRNPU;MRPL37;RPL8;RPL10A;YARS2;RPL7;MRPL42;SYNCRIP;MRPL3;RPS17;CASP7;CASP8;RPL36AL;CASP3;CASP1;RPL35;RPS10;RPS9;NCBP2;RPS6;MRPS21;RPS3A;MRPS5;DDX39B;HNRNPH1;DNAJB11;RPL24;SRSF3;RPS4Y2;RPL10;MRPL14;MRPL10;HSPD1;RPL14;RPL13;NLRP3;RPL15;RPL19;ABCF1;MRPL23;MRPL24;RPS28;HNRNPK;RPS27;HNRNPF;RPL27A;HNRNPA2B1;RPS20;STUB1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),28/70,9.226125441107283e-23,4.00413844144056e-20,0,0,18.901325478645067,959.0044507577668,NDUFB9;NDUFB8;NDUFB7;COX4I1;COX4I2;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;NDUFV1;COA6;COX8A;NDUFA7;NDUFC1;SDHA;UQCRHL;COX6B1;NDUFS6;NDUFS3;UQCRC1;UQCRC2;NDUFAF1
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),27/68,6.8218815575488025e-22,2.590609521479158e-19,0,0,18.644332855093257,908.6639417506958,NDUFB9;NDUFB8;NDUFB7;COX4I1;COX4I2;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;NDUFV1;COX8A;NDUFA7;NDUFC1;SDHA;UQCRHL;COX6B1;NDUFS6;NDUFS3;UQCRC1;UQCRC2;NDUFAF1
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),29/93,5.552009613708165e-20,1.8741116896050448e-17,0,0,12.851239859882003,569.7923858200386,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL10;RPLP1;MRPS12;RPL10A;RPL8;RPL7;RPS17;RPL36AL;RACK1;RPL14;RPL35;RPL13;RPL15;RPS10;RPL19;RPS9;RPS6;RPS3A;RPS28;RPS27;EIF3I;RPL27A;RPL24;RPS20
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),36/158,1.9975438451127306e-19,6.068538201452476e-17,0,0,8.430724878453983,363.0033939031719,RPL4;RPL5;RPL30;RPS4Y2;RPL10;RPLP1;MRPS12;MRPL14;MRPL37;RPL10A;RPL8;YARS2;MRPL10;RPL7;MRPL3;MRPL42;RPS17;RPL36AL;RPL14;RPL35;RPL13;RPL15;RPS10;RPL19;RPS9;RPS6;MRPS21;RPS3A;MRPL23;MRPL24;MRPS5;RPS28;RPS27;RPL27A;RPL24;RPS20
