Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),107/234,3.760232655683882e-113,9.445704431077913e-110,0,0,45.41649168853893,11756.859778709182,RPL5;RPL30;RPL34;RPL8;RPL9;RPL7;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL35;RPL38;RPS11;RPS10;CHCHD1;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;AURKAIP1;RPL29;UBA52;DAP3;RPS4Y2;EIF5A2;MRPL19;MRPL16;MRPL17;RPS4Y1;MRPL11;MRPL27;EEF2;MRPL24;RPL3L;RPS26;RPS25;EPRS1;RPS29;RPL27A;AGO2;RPS23;MRPS17;MRPS15;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPS10;MRPL36;MRPL34;MRPL33;MRPL41;MRPL4;MRPL3;MRPL2;MRPL1;QARS1;RPLP2;MRPL9;EIF5AL1;EIF5A;TSFM;MRPS25;MRPS2;RPL13A;MRPL47;RPS3A;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPL44;EEF1G;MRPL50;MRPS9;ETF1;MRRF;RPL12;MRPS34;RPL11;MRPL54;MRPL55;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;GADD45GIP1;NDUFA7;RPL35A;RPL23A;FAU;RPL26L1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),79/183,2.2559177305735582e-80,2.833432669600389e-77,0,0,38.0375446074544,6975.828949395459,MRPS17;RPL5;RPL30;MRPS15;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;RPL8;MRPL34;RPL9;RPL7;MRPL41;MRPL3;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL35;RPLP2;RPL38;MRPL9;RPS11;RPS10;RPS13;EIF5A;EIF5AL1;TSFM;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;MRPS18C;TUFM;EEF1A1;EEF1G;RPL24;RPL27;RPL29;MRRF;RPS4Y2;RPL12;EIF5A2;RPL11;RPS4Y1;MRPL11;MRPL55;TERT;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;MRPL27;RPL35A;RPL23A;EEF2;MRPL24;RPL3L;RPS26;RPS25;RPS29;RPL27A;AGO2;FAU;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),71/158,1.0589789303526628e-73,8.86718357681963e-71,0,0,40.0750609543713,6733.868862462671,MRPS17;RPL5;RPL30;MRPS15;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;RPL8;MRPL34;RPL9;RPL7;MRPL41;MRPL3;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL35;RPLP2;RPL38;MRPL9;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;MRPS18C;EEF1A1;RPL24;RPL27;RPL29;MRRF;RPS4Y2;RPL12;RPL11;RPS4Y1;MRPL11;MRPL55;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;MRPL27;RPL35A;RPL23A;MRPL24;RPL3L;RPS26;RPS25;RPS29;RPL27A;AGO2;FAU;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),53/93,2.3736785523499385e-62,1.4906701308757613e-59,0,0,62.38701690821256,8852.457849988406,EIF4A2;EIF4A1;RPL5;RPL30;RPL34;RPLP1;MRPS12;RPLP0;RPL8;RPL9;RPL7;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPL24;ETF1;RPL27;RPL29;UBA52;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS29;EIF3I;RPL27A;FAU;RPL26L1;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),75/296,3.510736542931725e-56,1.7637940391688986e-53,0,0,16.718995290423862,2134.830775647104,MRPS17;RPL5;RPL30;MRPS15;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;RPL8;MRPL34;RPL9;RPL7;MRPL41;CASP9;SYNCRIP;MRPL3;RPS17;RPS16;RPL18A;RPS19;RPL36AL;CASP3;RPL35;RPLP2;RPL38;MRPL9;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;MRPS18C;EEF1A1;RPL24;RPL27;RPL29;MRRF;RPS4Y2;RPL12;RPL11;RPS4Y1;MRPL11;MRPL55;HSPD1;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;MRPL27;RPL35A;RPL23A;MRPL24;RPL3L;RPS26;RPS25;RPS29;RPL27A;AGO2;FAU;RPS23
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),47/98,1.5817167417514553e-50,6.622120758799426e-48,0,0,42.74761904761905,4901.901273883549,MRPS17;GFM1;MRPS15;MRPS14;MRPS11;MRPL19;MRPS12;MRPS34;MRPL16;MRPL17;MRPS10;MRPL36;MTIF2;MRPL34;MRPL54;MRPL11;MRPL33;MRPL55;MRPL4;MRPL41;MRPL3;MRPL2;MRPL1;MRPL9;CHCHD1;EARS2;GADD45GIP1;TSFM;NDUFA7;MRPS25;MRPL27;MRPS18A;MRPS2;MRPL47;MRPL48;MRPL45;MRPS7;MRPL24;MRPL46;MRPS6;MRPL43;MRPS18C;TUFM;MRPL44;MRPL50;MRPS9;DAP3
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),42/103,1.7559660006274406e-41,6.301409419394472e-39,0,0,31.54576663452266,2960.3484218019817,MRPS17;MRPS15;MRPS14;MRPS11;MRPL19;MRPS12;MRPS34;MRPL16;MRPL17;MRPS10;MRPL36;MRPL34;MRPL54;MRPL11;MRPL33;MRPL55;MRPL4;MRPL41;MRPL3;MRPL2;MRPL1;MRPL9;CHCHD1;GADD45GIP1;NDUFA7;MRPS25;MRPL27;MRPS18A;MRPS2;MRPL47;MRPL48;MRPL45;MRPS7;MRPL24;MRPL46;MRPS6;MRPL43;MRPS18C;MRPL44;MRPL50;MRPS9;DAP3
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),35/85,6.678032506506061e-35,2.0969022070429028e-32,0,0,31.569675925925925,2484.270041549816,NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCRB;NDUFA12;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFB3;NDUFB1;COX7A2;COX5B;CYC1;NDUFV2;NDUFV1;PPARGC1A;NDUFA9;NDUFA7;NDUFA6;MDH2;NDUFA2;NDUFA1;SDHA;COX6C;SDHB;COX6B1;NDUFS8;UQCRQ;NDUFAB1;NDUFS3;UQCRC1;NDUFS1;UQCRC2
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),32/70,8.126745692457024e-34,2.268265019939116e-31,0,0,37.73986690865094,2875.5035878135864,NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFA12;NDUFB5;COX4I1;NDUFB4;NDUFB3;NDUFB1;COX7A2;COX5B;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA2;NDUFA1;SDHA;COX6C;SDHB;COX6B1;NDUFS8;UQCRQ;NDUFAB1;NDUFS3;UQCRC1;NDUFS1;UQCRC2;NDUFAF1
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),31/68,9.565330361418796e-33,2.4028109867884014e-30,0,0,37.46441854698735,2762.1452902142014,NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB5;COX4I1;NDUFB4;NDUFB3;NDUFB1;COX7A2;COX5B;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA2;NDUFA1;SDHA;COX6C;SDHB;COX6B1;NDUFS8;UQCRQ;NDUFAB1;NDUFS3;UQCRC1;NDUFS1;UQCRC2;NDUFAF1
