Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),119/234,1.151008723776956e-133,3.107723554197781e-130,0,0,57.73968015992004,17674.299631716767,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS14;RPS17;RPL18A;RPS19;RPL36AL;RPS18;RPL35;RPS11;CHCHD1;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;RPSA;MRPS18C;TUFM;RPL27;AURKAIP1;RPL29;UBA52;DAP3;EIF5A2;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;MRPL20;MRPL27;EEF2;MRPL24;MRPL21;RPL3L;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;COPS5;EPRS1;RPL27A;RPS20;RPS21;RPS24;RPS23;EIF4G1;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;RPLP0;MRPL38;MRPL33;MRPL41;MRPL4;MRPL3;RPL7A;MRPL2;MRPL40;MRPL1;QARS1;RACK1;MRPL9;EIF5A;TSFM;MRPS26;MRPS25;MRPL49;MRPS2;MRPS21;RPL13A;MRPL47;RPS3A;MRPS7;MRPL46;MRPS6;MRPS5;MRPL44;EEF1G;MRPL51;EEF1D;MRRF;RPL10;MRPS33;MRPS34;MRPL58;MRPL54;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;PTCD3;NDUFA7;RPL23A;FAU
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),88/183,4.9215326313712636e-95,6.644069052351207e-92,0,0,47.50851270656853,10316.566833443878,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;RPL34;MRPS11;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;MRPL41;RPS14;MRPL3;RPL7A;RPS17;RPL18A;RPS19;RPL36AL;RPS18;RPL35;MRPL9;RPS11;RPS13;EIF5A;TSFM;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;MRPS21;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;TUFM;EEF1G;MRPL51;EEF1D;RPL27;RPL29;MRRF;RPL10;MRPS33;EIF5A2;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;TERT;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;MRPL27;RPL23A;EEF2;MRPL24;RPL3L;RPS26;RPS25;RPS28;COPS5;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;EIF4G1;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),80/158,1.269383856780924e-88,1.1424454711028317e-85,0,0,51.56032597893063,10435.24057440165,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;RPL34;MRPS11;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;MRPL41;RPS14;MRPL3;RPL7A;RPS17;RPL18A;RPS19;RPL36AL;RPS18;RPL35;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18A;MRPS21;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;MRPL51;RPL27;RPL29;MRRF;RPL10;MRPS33;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;MRPL27;RPL23A;MRPL24;RPL3L;RPS26;RPS25;RPS28;COPS5;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;EIF4G1;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),87/296,1.6712215411039538e-71,1.1280745402451686e-68,0,0,21.168320322336942,3449.800883124106,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;RPL34;MRPS11;MRPS12;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPS15;MRPL41;CASP9;RPS14;SYNCRIP;MRPL3;RPL7A;RPS17;CASP8;RPL18A;RPS19;RPL36AL;RPS18;CASP3;RPL35;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;NCBP2;RPS5;RPS6;MRPS18A;MRPS21;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;MRPL51;HNRNPH1;RPL27;RPL29;MRRF;RPL10;MRPS33;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;RPS3;RPL13;NLRP3;RPL15;RPS2;RPL18;RPS27A;RPL19;MRPL27;RPL23A;MRPL24;RPL3L;RPS26;RPS25;RPS28;RPS27;COPS5;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23;EIF4G1
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),57/93,1.0950491303987004e-69,5.9132653041529824e-67,0,0,75.29329268292683,11955.639147040723,RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPL7A;RPS14;RPS17;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL35;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL27;RPL29;UBA52;RPL10;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL23A;RPS26;RPS25;RPS28;RPS27;EIF3I;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),55/98,3.5642062907479724e-64,1.6038928308365876e-61,0,0,60.50745089184917,8839.806060347102,MRPS17;GFM1;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL38;MRPL33;MRPL4;MRPL41;MRPL3;MRPL2;MRPL1;MRPL40;MRPL9;CHCHD1;TSFM;MRPS26;MRPS25;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPS7;MRPL46;MRPS6;MRPS5;MRPS18C;TUFM;MRPL44;MRPL51;MTRF1L;DAP3;MRPS33;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MTIF2;MRPL12;MRPL13;MRPL10;MRPL54;MRPL20;PTCD3;NDUFA7;MRPL27;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),50/103,4.5789100215222757e-54,1.7661510083014493e-51,0,0,44.0704040541152,5412.644792246657,MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL38;MRPL33;MRPL4;MRPL41;MRPL3;MRPL2;MRPL1;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS25;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPS7;MRPL46;MRPS6;MRPS5;MRPS18C;MRPL44;MRPL51;DAP3;MRPS33;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MRPL12;MRPL13;MRPL10;MRPL54;MRPL20;PTCD3;NDUFA7;MRPL27;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),34/63,4.0730211026055707e-39,1.3746446221293802e-36,0,0,52.810066098590426,4668.22150219441,NDUFB9;NDUFA13;NDUFB8;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB1;UQCRH;NDUFV2;ATP5MG;NDUFV1;ATP5ME;NDUFA9;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA2;NDUFC2;SDHC;SDHA;ATP5F1C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;UQCRC1;ATP5PO;NDUFS2;NDUFS1
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),31/53,2.780829172089864e-37,8.342487516269591e-35,0,0,63.05681818181818,5307.675206631311,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA12;NDUFB11;NDUFB1;NDUFV2;ATP5MG;NDUFV1;ATP5ME;NDUFA9;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA2;NDUFC2;SDHC;SDHA;ATP5F1C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;ATP5PO;NDUFS2;NDUFS1
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),32/60,1.19857407215948e-36,3.2361499948305958e-34,0,0,51.24466338259442,4238.54505007146,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA12;NDUFB11;ATP5MC3;NDUFB1;NDUFV2;ATP5MG;NDUFV1;ATP5ME;NDUFA9;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA2;NDUFC2;SDHC;SDHA;ATP5F1C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;ATP5PO;NDUFS2;NDUFS1
