Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),106/234,1.6920673231520914e-111,4.573657974480103e-108,0,0,44.51458621883656,11353.934620620945,RPL4;RPL5;RPL30;RPL3;RPL34;RPL10A;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPS11;CHCHD1;RPS13;RPS9;RPL21;RPS7;RPS5;RPS6;MRPS18A;RPSA;EEF1A1;RPL24;RPL26;RPL28;UBA52;RPS4Y2;MRPL18;EIF5A2;MRPL16;MRPL17;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;MRPL11;MRPL23;EEF2;MRPL24;MRPL21;MRPL30;EPRS1;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL38;MRPS10;MRPL36;MRPL34;MRPL35;MRPL33;MRPL41;MRPL4;RPS4X;MRPL3;RPL7A;MRPL40;MRPL1;RACK1;RPLP2;MRPL9;EIF5A;MRPS26;MRPS24;MRPS25;MRPS23;MRPL49;MRPS2;RPS3A;MRPL48;MRPS7;EEF1G;MRPL53;MRPS9;MRPL51;RPL37A;MRRF;RPL12;MRPS34;RPL11;MRPL58;MRPL57;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;PTCD3;ABCE1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),80/183,5.848752791697614e-82,7.904589397979328e-79,0,0,38.99550939514814,7293.944269666124,RPL4;RPL5;RPL30;RPL3;MRPS16;MRPS14;RPL34;RPLP1;MRPS12;RPLP0;MRPL36;RPL10A;MRPL34;MRPL35;RPL6;RPL7;RPS15;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;MRPL9;RPS11;RPS13;EIF5A;RPS9;RPL21;RPS7;RPS5;RPS6;MRPS18A;RPSA;RPS3A;MRPS7;EEF1A1;EEF1G;MRPL51;RPL37A;RPL24;RPL26;RPL28;MRRF;RPS4Y2;MRPL18;RPL12;EIF5A2;RPL11;MRPL14;MRPL12;RPS4Y1;TYMS;MRPL13;MRPL10;MRPL11;RPS15A;TERT;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;EEF2;MRPL23;MRPL24;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),74/158,1.44516618662046e-78,1.3020947341450343e-75,0,0,43.59705561613959,7814.049071803362,RPL4;RPL5;RPL30;RPL3;MRPS16;MRPS14;RPL34;RPLP1;MRPS12;RPLP0;MRPL36;RPL10A;MRPL34;MRPL35;RPL6;RPL7;RPS15;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;RPS5;RPS6;MRPS18A;RPSA;RPS3A;MRPS7;EEF1A1;MRPL51;RPL37A;RPL24;RPL26;RPL28;MRRF;RPS4Y2;MRPL18;RPL12;RPL11;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;MRPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;MRPL23;MRPL24;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),55/93,5.59497716394124e-66,3.780805818533292e-63,0,0,68.48652273888605,10290.014219505676,RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPS11;RPS13;RPS9;RPL21;RPS7;RPS5;RPS6;RPS3A;RPSA;RPL37A;RPL24;RPL26;RPL28;UBA52;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;EIF3I;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),81/296,1.0889072683262637e-63,5.886632692571781e-61,0,0,18.85477768405832,2733.522041910016,RPL4;RPL5;RPL30;RPL3;MRPS16;MRPS14;RPL34;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;RPL10A;MRPL35;RPL6;RPL7;RPS15;MRPL41;CASP9;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;CASP8;RPL18A;RPL36AL;RPS18;CASP3;MAGOH;RPL36;RPL35;RPLP2;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;NCBP2;RPS5;RPS6;MRPS18A;RPSA;RPS3A;MRPS7;EEF1A1;MRPL51;RPL37A;RPL24;RPL26;RPL28;MRRF;RPS4Y2;MRPL18;RPL12;RPL11;MRPL14;MRPL12;RPS4Y1;MRPL13;MRPL10;MRPL11;HSPD1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;MRPL23;MRPL24;HNRNPK;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),46/98,6.625134636235638e-49,2.9846231536241553e-46,0,0,40.93394847432853,4541.040274599805,GFM1;MRPS16;MRPS14;MRPL18;MRPS12;MRPS34;MRPL16;MRPL38;MRPL17;MRPS10;MRPL14;MRPL36;MRPL58;MTIF2;MRPL12;MRPL34;MRPL13;MRPL35;MRPL57;MRPL10;MRPL11;MRPL33;MRPL4;MRPL41;MRPL3;MRPL1;MRPL40;MRPL9;CHCHD1;PTCD3;MRPS26;MRPS24;MRPS25;MRPS23;MRPL49;MRPS18A;MRPS2;MRPL48;MRPL23;MRPS7;MRPL24;MRPL21;MRPL30;MRPL53;MRPS9;MRPL51
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),44/103,1.6089855155210437e-44,6.212982640647687e-42,0,0,34.33329326441479,3462.105440615053,MRPS16;MRPS14;MRPL18;MRPS12;MRPS34;MRPL16;MRPL38;MRPL17;MRPS10;MRPL14;MRPL36;MRPL58;MRPL12;MRPL34;MRPL13;MRPL35;MRPL57;MRPL10;MRPL11;MRPL33;MRPL4;MRPL41;MRPL3;MRPL1;MRPL40;MRPL9;CHCHD1;PTCD3;MRPS26;MRPS24;MRPS25;MRPS23;MRPL49;MRPS18A;MRPS2;MRPL48;MRPL23;MRPS7;MRPL24;MRPL21;MRPL30;MRPL53;MRPS9;MRPL51
GO_Biological_Process_2023,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),28/76,1.6249457563293434e-26,5.49028547419777e-24,0,0,25.89123006833713,1537.466239984397,TAF9;MED16;MED15;MED17;MED11;MED30;MED31;POLR2D;POLR2G;POLR2I;MED1;TBP;TAF12;TAF10;MED8;GTF2H2;MED27;GTF2F2;MED26;ESR1;MED7;CDK9;MED21;TAF8;TAF4;TAF3;TAF2;TAF1
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),68/705,1.2686523432007949e-23,3.8101858707463866e-21,0,0,5.055527358427466,266.5349954800192,GSK3B;ARL6IP1;TNF;ACTB;CASP9;CASP8;KAT5;MYC;CASP3;RUVBL1;RACK1;AKT1;MED1;HSP90AA1;ACTL6A;ANXA5;RPS6;RPS3A;SIRT1;MMP9;MORF4L1;VDAC1;TP53;ATF4;BIRC3;PRKN;VCP;PRKDC;SRC;HDAC1;TAF9;HTT;XIAP;EGFR;FOXO1;RELA;HSPD1;UBB;ERBB2;RPS3;ABL1;E2F1;FADD;MCL1;BARD1;HSPA9;CD74;JUN;XBP1;NPM1;HSPA5;STAT1;PLK1;PA2G4;NFKB1;SOD1;PINK1;HNRNPK;APEX1;ALB;MDM2;BCL2;CDK1;CTNNB1;TARDBP;HSPA1B;HSPA1A;BCL2L1
GO_Biological_Process_2023,Transcription By RNA Polymerase II (GO:0006366),37/192,2.0187560250061487e-23,5.45669753559162e-21,0,0,10.75747936984246,562.1533374460292,TAF9;MED16;CDC73;MED17;POLR2B;POLR2D;POLR2F;POLR2G;POLR2H;POLR2I;POLR2K;POLR2L;MED1;XBP1;TBP;PARP1;TAF12;NCBP2;TAF10;GTF2H2;MED27;GTF2F2;MED26;GTF2H4;NFKB1;MED7;CDK9;CREB1;ERCC2;TAF8;PPARG;MNAT1;TAF4;TAF3;TAF2;ATF4;TAF1
