Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),111/234,7.51088416949866e-120,1.96184294507305e-116,0,0,49.20320635790628,13496.13729631308,RPL4;RPL30;RPL3;RPL34;RPL8;RPL9;RPL6;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;TUFM;EEF1A1;RPL27;AURKAIP1;UBA52;DAP3;MRPL18;EIF5A2;MRPL19;MRPL17;MRPL14;MRPL12;MRPL13;MRPL10;MRPL11;MRPL20;MRPL27;MRPL23;EEF2;MRPL24;MRPL21;RPL3L;MRPL22;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23;MRPS15;MRPS16;MRPS11;RPLP1;MRPS12;MRPL38;MRPL39;MRPL36;MRPL34;MRPL35;MRPL33;MRPL41;MRPL4;RPS4X;MRPL3;RPL7A;MRPL40;MRPL1;RACK1;MRPL9;EIF5AL1;TSFM;MRPS26;MRPS24;MRPS23;MRPL49;MRPS2;RPL13A;RPS3A;MRPS7;MRPS5;MRPL44;MRPS9;ETF1;MRRF;RPL10;MRPS33;MRPS31;MRPL58;MRPL57;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL19;GADD45GIP1;NDUFA7;RPL35A;RPL23A;FAU;ABCE1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),82/183,3.6505887143257567e-85,4.767668860909439e-82,0,0,40.977857785778575,7967.113626234725,RPL4;RPL30;MRPS15;RPL3;MRPS16;RPL34;MRPS11;RPLP1;MRPS12;MRPL36;RPL8;MRPL34;RPL9;MRPL35;RPL6;EEF1B2;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;MRPL9;RPS11;RPS13;EIF5AL1;TSFM;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS5;MRPS18C;TUFM;EEF1A1;RPL27;MRRF;RPL10;MRPL18;MRPS33;EIF5A2;MRPL14;MRPL12;MRPL13;MRPL10;MRPL11;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL19;MRPL27;RPL35A;RPL23A;EEF2;MRPL23;MRPL24;RPL3L;RPS25;RPS28;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),76/158,7.179558984463623e-82,6.25100268913966e-79,0,0,46.10679308839124,8614.627324313633,RPL4;RPL30;MRPS15;RPL3;MRPS16;RPL34;MRPS11;RPLP1;MRPS12;MRPL36;RPL8;MRPL34;RPL9;MRPL35;RPL6;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS5;MRPS18C;EEF1A1;RPL27;MRRF;RPL10;MRPL18;MRPS33;MRPL14;MRPL12;MRPL13;MRPL10;MRPL11;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL19;MRPL27;RPL35A;RPL23A;MRPL23;MRPL24;RPL3L;RPS25;RPS28;RPS27;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),84/296,1.470657776023169e-67,9.603395277431294e-65,0,0,19.988226020986257,3075.9379611692616,RPL4;RPL30;MRPS15;RPL3;MRPS16;RPL34;MRPS11;RPLP1;MRPS12;MRPL36;RPL8;MRPL34;RPL9;MRPL35;RPL6;MRPL41;CASP9;RPS4X;RPS14;MRPL3;RPL7A;RPS17;RPS16;CASP8;RPL18A;RPS19;RPS18;CASP3;RPL36;RPL38;MRPL9;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS5;MRPS18C;EEF1A1;HNRNPH1;RPL27;MRRF;RPL10;MRPL18;MRPS33;MRPL14;MRPL12;MRPL13;MRPL10;MRPL11;HSPD1;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL19;MRPL27;RPL35A;RPL23A;MRPL23;MRPL24;RPL3L;RPS25;RPS28;HNRNPK;RPS27;RPL27A;HNRNPD;RPS20;STUB1;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),54/93,3.729301271756837e-64,1.9481869843657716e-61,0,0,65.35518718569566,9545.074442260498,RPL4;EIF4A1;RPL30;RPL3;RPL34;RPLP1;MRPS12;RPL8;RPL9;RPL6;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RACK1;RPL36;RPL38;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPSA;ETF1;RPL27;UBA52;RPL10;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3I;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),53/98,1.1907797409310544e-60,5.1838611388531914e-58,0,0,55.44090177133656,7649.763193988178,GFM1;MRPS15;MRPS16;MRPS11;MRPS12;MRPL38;MRPL39;MRPL36;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MRPL3;MRPL1;MRPL40;MRPL9;TSFM;MRPS26;MRPS24;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPS2;MRPS7;MRPS5;MRPS18C;TUFM;MRPL44;MRPS9;DAP3;MRPL18;MRPS33;MRPL19;MRPS31;MRPL17;MRPL14;MRPL58;MTIF2;MRPL12;MRPL13;MRPL57;MRPL10;MRPL11;MRPL20;GADD45GIP1;NDUFA7;MRPL27;MRPL23;MRPL24;MRPL21;MRPL22
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),50/103,4.5789100215222757e-54,1.7085875680308837e-51,0,0,44.0704040541152,5412.644792246657,MRPS15;MRPS16;MRPS11;MRPS12;MRPL38;MRPL39;MRPL36;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MRPL3;MRPL1;MRPL40;MRPL9;MRPS26;MRPS24;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPS2;MRPS7;MRPS5;MRPS18C;MRPL44;MRPS9;DAP3;MRPL18;MRPS33;MRPL19;MRPS31;MRPL17;MRPL14;MRPL58;FOXO3;MRPL12;MRPL13;MRPL57;MRPL10;MRPL11;MRPL20;GADD45GIP1;NDUFA7;MRPL27;MRPL23;MRPL24;MRPL21;MRPL22
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),34/70,5.04040245131404e-37,1.645691400354034e-34,0,0,42.526173979984605,3554.259479846108,NDUFB7;NDUFB10;NDUFA12;NDUFB5;COX4I1;NDUFB4;NDUFA10;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;COA6;NDUFA9;NDUFA7;NDUFA5;NDUFA4;NDUFA2;NDUFC2;NDUFC1;SDHC;SDHD;SDHB;NDUFS8;NDUFS6;UQCRQ;NDUFS4;NDUFS2;CYCS;NDUFS1
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),32/60,1.19857407215948e-36,3.478528307200624e-34,0,0,51.24466338259442,4238.54505007146,NDUFA13;NDUFB7;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;ATP5MC3;ATP5MC1;ATP5F1B;NDUFV2;ATP5MG;NDUFV1;NDUFA9;NDUFA7;NDUFA5;ATP5PB;NDUFA2;NDUFC2;NDUFC1;SDHC;SDHD;ATP5F1C;SDHB;ATP5F1D;NDUFS8;NDUFS6;NDUFS4;ATP5PO;NDUFS2;NDUFS1
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),36/85,2.0527486223155417e-36,5.361779401488194e-34,0,0,33.21293621857095,2729.2359568756906,NDUFA13;NDUFB7;NDUFB10;NDUFA12;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFA10;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;PPARGC1A;NDUFA9;NDUFA7;NDUFA5;NDUFA4;NDUFA2;NDUFC2;NDUFC1;SDHC;SDHB;OXA1L;NDUFS8;NDUFS6;UQCRQ;NDUFS4;NDUFS2;CYCS;NDUFS1
