Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),108/234,8.190952533575848e-115,2.096883848595417e-111,0,0,46.3358535614803,12172.162554232042,RPL5;RPL30;RPL3;RPL31;RPL8;RPL10A;RPL6;RPL7;RPS15;RPS14;RPL18A;RPS19;RPS18;RPS11;RPS13;RPL21;RPS8;RPS5;RPS6;MRPS18A;RPSA;MRPS18C;RPL26;RPL29;UBA52;DAP3;EIF5A2;MRPL19;MRPL16;MRPL17;MRPL12;RPS4Y1;MRPL13;MRPL11;MRPL20;VARS1;MRPL27;MRPL28;EEF2;MRPL24;MRPL21;RPL3L;MRPL22;RPS26;RPS25;RPS28;EPRS1;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPS10;MRPL34;MRPL35;MRPL41;MRPL4;RPS4X;MRPL3;RPL7A;MRPL2;MRPL40;MRPL1;QARS1;RACK1;RPLP2;MRPL9;EIF5AL1;TSFM;MRPS26;MRPS24;MRPS25;MRPL49;MRPS2;RPL13A;RPS3A;MRPS7;MRPS6;MRPS5;MRPL44;MRPS9;RPL37A;ETF1;MRRF;RPL10;MRPS33;RPL12;MRPS31;MRPL58;MRPL54;RPS15A;RPL15;RPS2;RPS27A;RPL17;RPL19;GADD45GIP1;NDUFA7;RPL35A;ABCE1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),79/183,2.2559177305735582e-80,2.8875746951341542e-77,0,0,38.0375446074544,6975.828949395459,RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;MRPL34;MRPL35;RPL6;RPL7;RPS15;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPL18A;RPS19;RPS18;RPLP2;MRPL9;RPS11;RPS13;EIF5AL1;TSFM;RPL21;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;RPL37A;RPL26;RPL29;MRRF;RPL10;MRPS33;RPL12;EIF5A2;MRPL12;RPS4Y1;TYMS;MRPL13;MRPL11;RPS15A;TERT;RPL15;RPS2;RPS27A;RPL17;RPL19;MRPL27;MRPL28;RPL35A;EEF2;MRPL24;RPL3L;RPS26;RPS25;RPS28;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),73/158,6.21858592441097e-77,5.306526655497362e-74,0,0,42.39187817258883,7438.566858697581,RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;MRPL34;MRPL35;RPL6;RPL7;RPS15;MRPL41;RPS4X;RPS14;MRPL3;RPL7A;RPL18A;RPS19;RPS18;RPLP2;MRPL9;RPS11;RPS13;RPL21;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;RPL37A;RPL26;RPL29;MRRF;RPL10;MRPS33;RPL12;MRPL12;RPS4Y1;MRPL13;MRPL11;RPS15A;RPL15;RPS2;RPS27A;RPL17;RPL19;MRPL27;MRPL28;RPL35A;MRPL24;RPL3L;RPS26;RPS25;RPS28;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),81/296,1.0889072683262637e-63,6.969006517288087e-61,0,0,18.85477768405832,2733.522041910016,RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;RPL8;MRPL34;RPL10A;MRPL35;RPL6;RPL7;RPS15;MRPL41;CASP9;RPS4X;RPS14;SYNCRIP;MRPL3;RPL7A;CASP8;RPL18A;RPS19;RPS18;CASP3;RPLP2;MRPL9;RPS11;RPS13;RPL21;RPS8;RPS5;RPS6;MRPS18A;RPL13A;RPSA;RPS3A;MRPS7;MRPS6;MRPS5;MRPS18C;RPL37A;RPL26;RPL29;MRRF;RPL10;MRPS33;RPL12;MRPL12;RPS4Y1;MRPL13;MRPL11;HSPD1;RPS15A;RPL15;RPS2;RPS27A;RPL17;RPL19;MRPL27;MRPL28;RPL35A;MRPL24;RPL3L;RPS26;RPS25;RPS28;HNRNPK;RPL27A;AGO2;HNRNPA2B1;RPS20;STUB1;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),52/93,1.4431373796167774e-60,7.3888633836379e-58,0,0,59.57002644725242,8208.051847111274,EIF4A1;RPL5;RPL30;RPL3;RPL31;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPL18A;RPS19;RPS18;RACK1;RPLP2;RPS11;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPS15A;RPL15;RPS2;RPS27A;RPL17;RPL19;RPL35A;RPS26;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),47/98,1.5817167417514553e-50,6.748658098139541e-48,0,0,42.74761904761905,4901.901273883549,MRPS15;MRPS16;MRPS14;MRPS11;MRPS33;MRPL19;MRPS12;MRPL16;MRPS31;MRPL17;MRPS10;MRPL58;MRPL12;MRPL34;MRPL13;MRPL35;MRPL54;MRPL11;MRPL4;MRPL41;MRPL20;MRPL3;MRPL2;MRPL1;MRPL40;MRPL9;GADD45GIP1;TSFM;MRPS26;NDUFA7;MRPS24;MRPS25;MRPL27;MRPL49;MRPS18A;MRPL28;MRPS2;MRPS7;MRPL24;MRPS6;MRPL21;MRPS5;MRPS18C;MRPL22;MRPL44;MRPS9;DAP3
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),46/103,1.2480142144003856e-47,4.5641662698071254e-45,0,0,37.33366670833854,4032.0339776966352,MRPS15;MRPS16;MRPS14;MRPS11;MRPS33;MRPL19;MRPS12;MRPL16;MRPS31;MRPL17;MRPS10;MRPL58;MRPL12;MRPL34;MRPL13;MRPL35;MRPL54;MRPL11;MRPL4;MRPL41;MRPL20;MRPL3;MRPL2;MRPL1;MRPL40;MRPL9;GADD45GIP1;MRPS26;NDUFA7;MRPS24;MRPS25;MRPL27;MRPL49;MRPS18A;MRPL28;MRPS2;MRPS7;MRPL24;MRPS6;MRPL21;MRPS5;MRPS18C;MRPL22;MRPL44;MRPS9;DAP3
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),32/70,8.126745692457024e-34,2.6005586215862475e-31,0,0,37.73986690865094,2875.5035878135864,NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB4;UQCR11;COX6A1;COX6A2;COX5A;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA7;NDUFA3;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHA;SDHB;UQCRHL;COX6B1;NDUFS8;NDUFS7;NDUFAB1;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),31/68,9.565330361418796e-33,2.7208050805813465e-30,0,0,37.46441854698735,2762.1452902142014,NDUFB7;NDUFB10;NDUFB6;NDUFB4;UQCR11;COX6A1;COX6A2;COX5A;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA7;NDUFA3;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHA;SDHB;UQCRHL;COX6B1;NDUFS8;NDUFS7;NDUFAB1;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),29/60,1.1819739218361268e-31,3.025853239900485e-29,0,0,41.65252614523494,2966.199346176452,NDUFA13;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB4;ATP5MC2;ATP5MC3;ATP5F1B;NDUFV3;NDUFV2;NDUFV1;ATP5MF;NDUFA8;NDUFA7;NDUFA3;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHA;ATP5F1C;SDHB;NDUFS8;NDUFS7;NDUFAB1;ATP5PO;NDUFS2;NDUFS1
