Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),39/234,3.212669551171193e-22,8.173031338179515e-19,0,0,9.03644859813084,447.2117610978925,MRPS11;RPLP1;MRPL17;MRPL39;MRPL37;RPL8;RPS4Y1;MRPL13;MRPL35;RPL6;MRPL54;MRPL33;MRPL55;MRPL4;RPS4X;RPL7A;RPS16;RPL36AL;RPS3;RPL15;RPS2;RPS27A;EIF5AL1;RARS2;RPS8;MARS2;RPL23A;MRPL45;MRPL44;MRPL52;RPS28;MRPL50;LARS1;RPS20;AURKAIP1;RPL28;RPS24;RPL26L1;DAP3
GO_Biological_Process_2023,Chromatin Organization (GO:0006325),35/268,1.374332915311892e-16,1.7481514682767264e-13,0,0,6.710975997456684,245.1076139499489,PAXIP1;H2AB1;HMGB2;EHMT1;PSIP1;BAZ2A;NUDT5;MACROH2A1;YY1;TRIM28;RUVBL2;H2BC21;SMARCAD1;KAT7;HMG20A;BRD7;H3-3A;KDM4A;PBRM1;KDM4B;CBX5;KDM4C;ACTR5;MBD2;CBX1;NAP1L2;SSRP1;H2BC17;H1-5;TADA2B;KAT2A;H2BC14;CFDP1;SLFN11;ASF1A
GO_Biological_Process_2023,Regulation Of DNA Repair (GO:0006282),24/129,2.963043436512665e-15,2.5126608341627402e-12,0,0,10.024121251209287,335.3325122583613,BARD1;PBRM1;ACTR5;TAF9;SIRT7;EGFR;YY1;TADA2B;RNF168;RAD52;KAT2A;KAT5;TRIM28;VPS72;RUVBL2;TADA3;UIMC1;EP400;RPS3;KAT7;TAF6;BRD7;TAF4;TAF2
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),25/158,3.8998533768766166e-14,2.4803067476935278e-11,0,0,8.250263668220324,254.7289726704115,MRPS11;RPLP1;MRPL37;RPL8;RPS4Y1;MRPL13;MRPL35;RPL6;MRPL55;RPS4X;RPL7A;RPS16;RPL36AL;RPS3;RPL15;RPS2;RPS27A;GGT6;RPS8;RPL23A;MRPL52;RPS28;RPS20;RPL28;RPS24
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),26/183,1.642840280714934e-13,8.358771348277583e-11,0,0,7.276109594580932,214.1881448272732,ALAS1;MRPS11;RPLP1;MRPL37;RPL8;RPS4Y1;MRPL13;MRPL35;RPL6;MRPL55;RPS4X;RPL7A;RPS16;RPL36AL;RPS3;RPL15;RPS2;RPS27A;EIF5AL1;RPS8;RPL23A;MRPL52;RPS28;RPS20;RPL28;RPS24
GO_Biological_Process_2023,Transcription By RNA Polymerase II (GO:0006366),26/192,5.168105190624847e-13,2.1569306023661927e-10,0,0,6.8784252656886045,194.598217642357,GTF2A1;SETD2;CTR9;TAF9;RTF1;POLR2A;POLR2B;POLR2D;POLR2G;POLR2H;POLR2L;XBP1;PBRM1;TAF11;GTF2H2;NFKB1;MED7;CREB1;RARA;TAF8;TCEA1;PPARG;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Gene Expression (GO:0010467),32/296,5.934950556825217e-13,2.1569306023661927e-10,0,0,5.369278996865204,151.1599559184852,MRPS11;RPLP1;DDX20;MRPL37;RPL8;RPS4Y1;MRPL13;MRPL35;RPL6;MRPL55;RPS4X;SYNCRIP;RPL7A;CASP7;RPS16;RPL36AL;CASP10;CASP4;RPS3;RPL15;RPS2;RPS27A;RPS8;GZMB;RPL23A;MRPL52;RPS28;HNRNPH1;HNRNPA2B1;RPS20;RPL28;RPS24
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),19/98,1.0941416029022849e-12,3.479370297229266e-10,0,0,10.4437726039783,287.63247375543284,RARS2;GFM1;MRPS11;MRPL17;MRPL39;MRPL37;MTIF3;MRPL45;MRPL13;MRPL35;MRPL54;MRPL33;MRPL44;MRPL55;MRPL4;MRPL52;MRPL50;EARS2;DAP3
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),18/93,4.467864409521854e-12,1.2629163397581771e-09,0,0,10.400712694877503,271.81337570162486,RPS8;RPLP1;RPL23A;RPL8;RPL6;RPS4X;RPL7A;RPS28;RPS16;RPL36AL;RPS3;RPS20;RPL15;RPS2;RPS27A;RPL28;RPL26L1;RPS24
GO_Biological_Process_2023,Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261),14/52,9.28115632311541e-12,2.3611261686005603e-09,0,0,15.855117927268502,402.768115209167,GTF2A1;PAXIP1;TAF9;TAF11;MED8;MED9;MED7;MED30;MED21;TAF8;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),16/76,1.8110656786011022e-11,4.188500987601095e-09,0,0,11.513968957871397,284.7925021253139,GTF2A1;TAF9;TAF11;MED8;MED9;GTF2H2;MED7;MED30;MED21;POLR2D;TAF8;POLR2G;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),26/228,2.7766845360262527e-11,5.472512737005429e-09,0,0,5.6420601243797845,137.1425620991077,SETD2;PAXIP1;PSIP1;BAZ2A;NUDT5;MACROH2A1;YY1;KAT5;RUVBL2;SMARCAD1;BRD7;KDM4A;PBRM1;KDM4B;KDM4C;ACTR5;MBD2;MTHFR;SIRT7;TADA2B;RNF168;KAT2A;CFDP1;SLFN11;H1-8;ASF1A
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),14/56,2.796488426928875e-11,5.472512737005429e-09,0,0,14.342163355408388,348.51559537509377,GTF2A1;PAXIP1;TAF9;TAF11;MED8;MED9;MED7;MED30;MED21;TAF8;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260),14/57,3.628755413757501e-11,6.593966980427916e-09,0,0,14.007905949997433,336.7437035763735,GTF2A1;PAXIP1;TAF9;TAF11;MED8;MED9;MED7;MED30;MED21;TAF8;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),17/103,2.4777213991282683e-10,4.202215492921543e-08,0,0,8.542609819121447,188.9498142314465,RARS2;MRPS11;MRPL17;MRPL39;MRPL37;MRPL45;MRPL13;MRPL35;MRPL54;MRPL33;MRPL44;MRPL55;MRPL4;MRPL52;MRPL50;TFAM;DAP3
GO_Biological_Process_2023,RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),13/56,3.9358914009576144e-10,6.258067327522607e-08,0,0,12.97869070791927,281.0628081254752,GTF2A1;TAF9;TAF11;MED8;MED9;MED7;MED30;MED21;TAF8;TAF6;TAF4;TAF3;TAF2
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),14/68,4.5967957153963516e-10,6.878969588216659e-08,0,0,11.148148148148149,239.6906639736066,NDUFB9;NDUFB8;NDUFA4;NDUFB4;NDUFA3;NDUFA2;NDUFC2;COX6A1;SDHA;COX6A2;COX5A;NDUFS4;NDUFS2;CYCS
