Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),24/234,3.640678226761862e-20,2.9304674758418465e-17,0,0,16.9991341991342,760.873288940995,RPL4;MRPS28;GADD45GIP1;TSFM;RPL3;MRPS25;EIF5A2;MRPL19;MRPS34;MRPS18B;MRPL28;MRPL39;MRPS21;MRPL14;EEF2;MRPL34;MRPL45;MRPL13;MRPS6;MRPS5;MRPL33;MRPL44;RPS20;RPL26L1
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),18/98,5.0438338654765004e-20,2.9304674758418465e-17,0,0,32.22391304347826,1431.8223802794323,MRPS28;GADD45GIP1;TSFM;MRPS25;MRPL19;MRPS34;MRPS18B;MRPL28;MRPL39;MRPS21;MRPL14;MRPL34;MRPL45;MRPL13;MRPS6;MRPS5;MRPL33;MRPL44
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),17/103,3.885513022536361e-18,1.5049887107290838e-15,0,0,28.098209804249624,1126.436906118413,MRPS28;GADD45GIP1;MRPS25;MRPL19;MRPS34;MRPS18B;MRPL28;MRPL39;MRPS21;MRPL14;MRPL34;MRPL45;MRPL13;MRPS6;MRPS5;MRPL33;MRPL44
GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),17/162,9.836073529837746e-15,2.8573793604178654e-12,0,0,16.615380798809227,535.8912211912395,PRKN;TOMM70;TIMM8B;TOMM40;PARP1;TIMM9;TIMM13;COX7A2;PHB2;ATP5F1D;HK2;TOMM22;TIMM50;OXA1L;CHCHD3;SAMM50;TIMM17A
GO_Biological_Process_2023,Chromatin Organization (GO:0006325),20/268,2.824692979266098e-14,6.5645864838144116e-12,0,0,11.620018975332068,362.5189306492279,HDAC4;H4C7;NPM1;HDAC2;HDAC3;HDAC1;H2BC3;SUV39H1;NAP1L1;CTCF;H2BC17;KAT2A;H2BC15;H3-4;H3C14;RUVBL1;CHEK1;H2BC11;H3C1;HMGN1
GO_Biological_Process_2023,DNA Repair (GO:0006281),20/291,1.3371636227507014e-13,2.589640216060525e-11,0,0,10.6213370957239,314.84888541396344,NPM1;MRE11;PARP1;TRRAP;ABRAXAS1;XRCC5;PRKDC;PARP2;XRCC1;SMC1A;BRCA2;HPF1;WRN;RAD51;MSH2;KAT5;FANCD2;CHEK1;EP400;NBN
GO_Biological_Process_2023,protein-DNA Complex Assembly (GO:0065004),11/59,9.23181201992391e-13,1.5324807953073686e-10,0,0,31.2867816091954,866.9864677761797,H4C7;NPM1;H2BC15;H3-4;RAD51;H3C14;H2BC3;H2BC11;H3C1;NAP1L1;H2BC17
GO_Biological_Process_2023,Establishment Of Protein Localization To Mitochondrion (GO:0072655),10/44,1.2307961898407618e-12,1.5890946362166279e-10,0,0,39.90733279613215,1094.3931478080865,TIMM8B;TOMM70;TOMM40;TIMM9;TIMM13;TIMM17A;AKT1;HK2;TIMM50;TOMM22
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),19/288,1.176275653860826e-12,1.5890946362166279e-10,0,0,10.092122757984423,277.21716838836704,NPM1;MRE11;PARP1;TRRAP;XRCC5;PRKDC;PARP2;NAP1L1;GLRX2;SMC1A;TERF2;HPF1;WRN;RAD51;MSH2;RUVBL1;CHEK1;EP400;NBN
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),12/85,2.6641449113695325e-12,3.095736387011397e-10,0,0,22.569634703196343,601.5064483751133,OXA1L;NDUFA8;NDUFB8;NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFA3;COX4I2;COX7A2;UQCR11;COX6B1
